rank,lemma,PoS,DISPERSION,TOT FREQ,SPOKEN,FICTION,POP MAG,NEWSPAPER,ACADEMIC,MAG:News/Opin,MAG:Financial,MAG:Sci/Tech,MAG:Soc/Arts,MAG:Religion,MAG:Sports,MAG:Entertain,MAG:Home/Health,MAG:Afric-Amer,MAG:Children,MAG:Women/Men,NEWS:Misc,NEWS:News_Intl,NEWS:News_Natl,NEWS:News_Local,NEWS:Money,NEWS:Life,NEWS:Sports,NEWS:Editorial,ACAD:History,ACAD:Education,ACAD:Geog/SocSci,ACAD:Law/PolSci,ACAD:Humanities,ACAD:Phil/Rel,ACAD:Sci/Tech,ACAD:Medicine,ACAD:Misc,SPOK:ABC,SPOK:NBC,SPOK:CBS,SPOK:CNN,SPOK:FOX,SPOK:MSNBC,SPOK:PBS,SPOK:NPR,SPOK:Indep,FIC:Gen (Book),FIC:Gen (Jrnl),FIC:SciFi/Fant,FIC:Juvenile,FIC:Movies
31571,punchline,n,0.88,126,20,46,32,21,6,6,1,2,0,0,2,18,1,0,0,2,6,0,2,1,2,4,3,3,0,0,2,1,2,1,0,0,0,3,1,1,10,0,0,1,4,0,6,21,8,1,10
31581,dengue,n,0.58,190,6,9,25,23,127,5,1,6,2,2,2,0,6,0,1,0,13,7,1,0,1,1,0,0,0,0,0,2,0,0,12,113,0,0,0,0,4,0,0,0,2,0,1,5,3,0,0
31591,eutrophication,n,0.67,166,0,0,12,3,151,8,0,1,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,6,14,0,0,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31601,preemptively,r,0.87,128,34,10,26,18,40,11,1,6,2,3,0,1,1,0,0,1,7,0,5,0,2,1,0,3,13,0,2,14,3,1,2,1,4,8,1,4,5,7,0,4,5,0,2,7,1,0,0
31611,recode,v,0.75,148,1,0,3,1,143,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,23,83,0,10,4,17,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31621,six-speed,j,0.71,155,1,1,66,86,1,0,1,26,0,0,1,0,35,1,0,2,11,0,6,0,22,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
31631,viaduct,n,0.84,131,8,46,18,49,9,1,1,2,8,0,1,2,2,0,0,1,27,0,2,7,0,5,1,7,1,1,2,0,4,0,1,0,0,1,0,4,0,0,0,2,1,0,8,16,2,1,19
31641,lube,v,0.74,150,3,17,115,7,7,0,0,2,0,0,100,0,7,0,0,6,3,0,0,0,1,1,2,0,0,0,1,0,1,0,4,0,1,0,1,1,0,0,0,0,0,1,3,12,1,0,1
31651,Zen-like,j,0.88,125,15,21,58,26,4,9,3,2,5,3,12,4,13,0,1,6,9,1,1,1,1,10,3,0,0,0,0,0,0,1,1,0,2,2,1,4,3,0,0,0,5,0,7,12,0,0,2
31661,humvee,n,0.77,143,44,29,22,44,0,18,0,0,1,1,1,0,1,0,0,0,38,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,15,13,1,2,1,5,0,5,8,2,0,14
31671,flamboyant,n,0.89,123,19,11,41,39,12,10,5,2,6,1,2,4,6,1,1,3,15,1,2,0,0,13,6,2,1,0,2,1,7,0,1,0,0,2,1,4,7,1,0,0,3,1,2,1,2,0,6
31681,sachet,n,0.76,145,3,33,53,40,12,0,2,0,1,0,1,0,39,6,2,2,29,0,0,2,1,8,0,0,0,1,3,0,1,0,0,1,6,0,0,2,0,0,0,0,1,0,11,16,5,1,0
31691,rhapsodize,v,0.89,123,8,23,47,30,15,18,4,0,1,1,7,4,7,2,0,3,14,1,0,3,3,6,2,1,2,0,1,0,7,1,0,0,4,0,1,0,4,0,0,1,2,0,5,10,7,0,1
31701,strictness,n,0.77,143,6,18,14,15,90,5,2,0,3,2,0,1,0,0,0,1,5,1,2,2,0,2,0,3,2,5,50,7,6,3,12,1,4,3,1,0,1,0,0,0,1,0,3,14,0,0,1
31711,self-concept,j,0.73,151,0,0,2,2,147,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,70,68,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31721,catcall,n,0.87,126,12,62,20,25,5,6,1,0,1,0,3,2,0,2,0,5,9,1,1,4,0,5,4,1,1,0,1,0,1,0,0,0,2,3,0,3,1,0,2,2,0,1,11,22,14,0,15
31731,green-eyed,j,0.83,132,10,78,24,17,3,5,1,1,0,0,1,1,5,4,3,3,9,0,0,0,0,4,2,2,0,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,1,5,19,42,14,2,1
31741,stooped,j,0.85,129,3,82,18,15,7,5,0,3,0,1,4,0,2,0,1,2,7,2,0,2,0,1,3,0,0,1,2,0,2,1,0,1,0,0,0,1,0,0,0,0,2,0,19,43,14,5,1
31751,rheumatic,j,0.74,147,5,21,48,10,63,8,0,4,1,0,2,2,24,1,3,3,1,0,1,1,1,2,2,2,0,1,3,0,1,1,1,54,2,1,0,1,0,0,0,1,2,0,2,17,0,2,0
31761,cowrie,n,0.74,147,0,7,19,2,119,1,0,4,4,0,0,0,3,7,0,0,0,0,0,0,0,2,0,0,14,0,10,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0
31771,demigod,n,0.88,124,2,44,44,17,17,14,1,5,8,4,8,1,2,1,0,0,8,1,0,0,1,5,2,0,2,1,2,4,3,2,1,0,2,0,0,0,0,0,0,0,2,0,4,13,27,0,0
31781,right-to-life,j,0.81,134,58,1,34,22,19,23,0,0,0,5,0,1,0,0,0,5,14,0,0,0,0,1,0,7,0,0,15,1,0,2,0,0,1,18,1,6,12,3,0,4,12,2,0,0,1,0,0
31791,ex-convict,n,0.87,125,23,9,19,66,8,9,0,1,1,3,0,1,0,4,0,0,25,4,8,11,3,9,1,5,0,0,3,2,0,2,0,0,1,8,1,5,3,0,0,0,5,1,3,3,2,0,1
31801,sharpener,n,0.88,124,9,40,49,20,6,7,3,2,11,2,8,0,13,0,2,1,3,0,1,2,0,9,4,1,1,1,0,0,0,0,2,2,0,0,1,0,0,0,1,0,7,0,10,21,2,1,6
31811,contextually,r,0.77,141,2,2,4,2,131,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,17,30,2,35,31,9,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0
31821,double-take,n,0.85,128,6,73,13,32,4,0,0,0,0,0,4,0,1,3,0,5,8,0,0,0,1,13,10,0,1,0,0,1,2,0,0,0,0,2,0,0,2,0,0,0,2,0,5,17,16,0,35
31831,swill,v,0.87,124,6,62,37,14,4,7,3,0,0,0,14,5,2,0,1,5,7,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,3,0,0,1,1,1,0,0,3,0,9,31,17,2,3
31841,grapple,n,0.84,129,14,66,18,12,18,5,0,3,0,2,1,1,3,0,0,3,4,2,1,1,0,3,1,0,1,0,1,0,4,2,10,0,0,1,0,1,8,0,0,0,4,0,4,5,30,0,27
31851,single-mindedness,n,0.89,121,9,31,38,23,19,6,5,3,4,4,6,3,2,1,0,4,5,2,1,0,2,4,7,2,2,2,4,2,5,1,0,0,3,1,0,4,2,0,0,2,0,0,8,7,13,2,1
